"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/27/2022","AQS","130210012","1","0.053","ppm","49","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/28/2022","AQS","130210012","1","0.036","ppm","33","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/29/2022","AQS","130210012","1","0.034","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/30/2022","AQS","130210012","1","0.033","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/01/2022","AQS","130210012","1","0.027","ppm","25","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/02/2022","AQS","130210012","1","0.039","ppm","36","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/03/2022","AQS","130210012","1","0.033","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/04/2022","AQS","130210012","1","0.042","ppm","39","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/05/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/06/2022","AQS","130210012","1","0.032","ppm","30","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"07/07/2022","AQS","130210012","1","0.038","ppm","35","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
